X,Y,Universe,Channel,Name
18,47,7,369,"RGB_light #0001"
18,45,7,366,"RGB_light #0002"
18,43,7,363,"RGB_light #0003"
19,44,7,360,"RGB_light #0004"
19,45,7,357,"RGB_light #0005"
19,46,7,354,"RGB_light #0006"
20,47,7,351,"RGB_light #0007"
20,46,7,348,"RGB_light #0008"
20,45,7,345,"RGB_light #0009"
21,44,7,342,"RGB_light #0010"
21,45,7,339,"RGB_light #0011"
21,46,7,336,"RGB_light #0012"
22,45,7,333,"RGB_light #0013"
22,43,7,330,"RGB_light #0014"
23,44,7,327,"RGB_light #0015"
23,45,7,324,"RGB_light #0016"
23,46,7,321,"RGB_light #0017"
24,47,7,318,"RGB_light #0018"
24,45,7,315,"RGB_light #0019"
24,44,7,312,"RGB_light #0020"
25,44,7,309,"RGB_light #0021"
25,45,7,306,"RGB_light #0022"
25,46,7,303,"RGB_light #0023"
26,45,7,300,"RGB_light #0024"
26,43,7,297,"RGB_light #0025"
27,44,7,294,"RGB_light #0026"
27,45,7,291,"RGB_light #0027"
27,46,7,288,"RGB_light #0028"
28,47,7,285,"RGB_light #0029"
28,46,7,282,"RGB_light #0030"
28,45,7,279,"RGB_light #0031"
29,44,7,276,"RGB_light #0032"
29,45,7,273,"RGB_light #0033"
29,46,7,270,"RGB_light #0034"
30,45,7,267,"RGB_light #0035"
30,44,7,264,"RGB_light #0036"
30,43,7,261,"RGB_light #0037"
31,44,7,258,"RGB_light #0038"
31,45,7,255,"RGB_light #0039"
31,46,7,252,"RGB_light #0040"
32,47,7,249,"RGB_light #0041"
32,45,7,246,"RGB_light #0042"
33,44,7,240,"RGB_light #0043"
33,45,7,237,"RGB_light #0044"
33,46,7,234,"RGB_light #0045"
34,43,7,243,"RGB_light #0046"
36,48,7,231,"RGB_light #0047"
36,47,7,228,"RGB_light #0048"
36,46,7,225,"RGB_light #0049"
36,45,7,222,"RGB_light #0050"
37,44,7,219,"RGB_light #0051"
37,45,7,216,"RGB_light #0052"
37,46,7,213,"RGB_light #0053"
37,47,7,210,"RGB_light #0054"
37,48,7,207,"RGB_light #0055"
38,49,7,204,"RGB_light #0056"
38,48,7,201,"RGB_light #0057"
38,47,7,198,"RGB_light #0058"
38,46,7,195,"RGB_light #0059"
38,45,7,192,"RGB_light #0060"
38,44,7,189,"RGB_light #0061"
39,48,7,171,"RGB_light #0062"
39,47,7,174,"RGB_light #0063"
39,46,7,177,"RGB_light #0064"
39,45,7,180,"RGB_light #0065"
39,44,7,183,"RGB_light #0066"
39,43,7,186,"RGB_light #0067"
40,48,7,168,"RGB_light #0068"
40,47,7,171,"RGB_light #0069"
40,46,7,174,"RGB_light #0070"
40,45,7,177,"RGB_light #0071"
40,44,7,180,"RGB_light #0072"
41,48,7,138,"RGB_light #0073"
41,47,7,141,"RGB_light #0074"
41,46,7,144,"RGB_light #0075"
41,45,7,147,"RGB_light #0076"
41,44,7,150,"RGB_light #0077"
41,43,7,153,"RGB_light #0078"
42,44,7,123,"RGB_light #0079"
42,45,7,126,"RGB_light #0080"
42,46,7,129,"RGB_light #0081"
42,47,7,132,"RGB_light #0082"
42,48,7,135,"RGB_light #0083"
43,43,7,105,"RGB_light #0084"
43,44,7,108,"RGB_light #0085"
43,45,7,111,"RGB_light #0086"
43,46,7,114,"RGB_light #0087"
43,47,7,117,"RGB_light #0088"
43,48,7,120,"RGB_light #0089"
44,48,7,90,"RGB_light #0090"
44,47,7,93,"RGB_light #0091"
44,46,7,96,"RGB_light #0092"
